tx_hash,seller,nft_token_id
0x97b845febd3fa4b29442a4999914dd7b04db3e12d9818548ff4faab40b6d8701,0x1c87f964efa28ad2a59a6e00ebb233d209dbc4f9,3089
0x7cf71ad5d9021e4148c60c5e19ab12547374229aac6aab0c1eddd4ac3b4fc6a5,0xcf2cb86dfe77775348a690c3aad3baf6ca4f7692,4833
0xa39e291147489bafc98b298a371cbd7acc02b6df55083a9ae9eb6820d89b1f5c,0xdbc5a981bd9ac276f3ce0a0fd15561d7ee1eefdd,8021
0x2f04b5d393cec9bcbb9aea23cb5d5a42f4ddd3cfe4fcc0ace6190510df4d9f1e,0xeae59890f7787b05d0c6375651cd59920afb0576,1683
0x5722556196165e33dfc23642b8928f3d5ae2dfffa1fea138becc8055e9fdf051,0xe5e0ca85149962d99cffc06f3f7a359fd89fe8c2,6738
0x1f4fdfcd393af3e7d9c4780eabf725ce50f9afa924126633cca5b9a1183b5965,0xa5da2ea4c755d057724058e8d88831a0dec12393,7899
0xc8413c725e6dcf3864423bb917cbd6418df8557865aba4df4fab3b6c92ca72c4,0x3b8050a70e523c463a5210bfc610a5440f62179e,1042529
0x40311dc56a7269a03460cf248adfe23cd1a6899bb72d62e6f11e4f4bde3c14f2,0x77ccdd0319750f74d22f53bf65a0cd1233f4d069,12876
0xf8dd40ae0cb53bf433e884ebc25965c33e3379aaf3b9a76f2f6fa37a10400a65,0xc717063f994e7f9a73dc7d292a7e28e30bb8913c,783
0x4bca037cc948115911dcf750dce6c0017da75dee092711a340100ef6f70fb44a,0xc11a10a8ada6bd644c7d68d7d290e988fcc7bba9,5435
0x9641ed09eafa2a9cb47a7c2d0f4d8e3ea8994d375a2b4603b9dbf48728802435,0xd389df95c4b07cc00e859c926d5c4c6ab9dc9510,2
0xcb0921cd48f0d3ab75d1e4bba6424adde8dd75f370e07c9beb0bf35f918cffd8,0x2cc859ba8f7606e299f529b1b0b0d4270a9a14ca,8625
0x3958736cfb93f2b40c5161f1c3ea47cf3aa41e9770b84e807c37c6893ccc79f6,0x011df7520739f2a635a708138cc3e86f422a3499,5584
0x5d70d0ef55908545ceee9714b10657892f3b46a0929462f9931dfe861b3f1c2d,0x8ab406539562483b3a169c82fa93ebe14c67c04a,10756
