blockchain,project,version,block_date,tx_hash,evt_index,trace_address,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
fantom,paraswap,5,2023-01-24,0x10df9b7652722e96bd34a839b78cda525607a2ec0cc43fc68cb96249d47661af,9,-1,0x321162cd933e2be498cd2267a90534a804051b11,0.00052933,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,30
fantom,paraswap,5,2023-01-23,0x424e0e4f9e6c58f928721b7843f3d4aacb2e510aecde7cf5fbe2ffd58e6f7150,13,-1,0x04068da6c83afcfa0e13ba15a6696662335d5b75,303.520396,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,755
avalanche_c,paraswap,5,2023-01-23,0x1096a820ae90113c37bccd652a55276087e6c795cf94dcc518c784de8ad9e30c,39,-1,0x026187bdbc6b751003517bcb30ac7817d5b766f8,1,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0.000022721437054804
avalanche_c,paraswap,5,2023-01-23,0x461516c7bd304cabf2fd002fb1ea6b172535075a2044f3034ae71140233cb2ae,96,-1,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,45,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,436.775797
avalanche_c,paraswap,5,2023-01-24,0x493f4861e8de3d34d60b0d900a4013f3f4d9d18d4fe47d6b4db1dd74cc4da42b,28,-1,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,5628.837583,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,299.5
avalanche_c,paraswap,5,2023-01-24,0x2d77c0c339616137e72b2310cf48dbedcd0faa1eb4a87a7c91bdbec03a403d11,20,-1,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,5999.102774,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6000
arbitrum,paraswap,5,2023-05-05,0x5ccb0b4b16dceb777e2e44b8a02489a17b37112af82dd53ce3384b80e77c7f9b,22,-1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,8.497413239757366,0x5979d7b546e38e414f7e9822514be443a4800529,7.591588277765564
arbitrum,paraswap,5,2023-05-05,0xfae53c98ad364eb87710e6ee5e4d68486fd6f73e89302cd870a4639600870ed7,12,-1,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,0.00050072,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.007672841272760834
arbitrum,paraswap,5,2023-05-05,0xfcee194b15dc7a39647416818711c7f3005e230160567cda69f08ca4a2910ed5,10,-1,0x965f298e4ade51c0b0bb24e3369deb6c7d5b3951,,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.02272313765145093
arbitrum,paraswap,5,2023-05-05,0x02c9bbc4a5a02b4f0fb4ed079e07adb3cb6d4972b80fa3eb2392f2e0b94e2202,11,-1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,2.1962707763740212,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,60.5
arbitrum,paraswap,5,2023-05-05,0xfcaff5166f74b13dfe146666ddb4e12c552c0b124187cf80f6be24163d4897c6,27,-1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.010452526228458008,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,20.0
bnb,paraswap,4,2022-07-03,0x3a3406bf16b2ec72afc15daa08224e22265da08d2b759066b305d75731200b14,4,-1,0x77ac58a264e8af6a09b0ad2571a57cc71a718ea8,,0x77ac58a264e8af6a09b0ad2571a57cc71a718ea8,
bnb,paraswap,4,2022-07-03,0x3cf348e2538b8c06f75eddfe53e99a6628a2b4f1065eafb2c4935f575687a04c,159,-1,0x77ac58a264e8af6a09b0ad2571a57cc71a718ea8,,0x77ac58a264e8af6a09b0ad2571a57cc71a718ea8,
bnb,paraswap,4,2022-07-03,0x4685f3941c9e316d5c94a56b12c4190be094cc74274eff29722da1aa3fc1c3f8,165,-1,0x77ac58a264e8af6a09b0ad2571a57cc71a718ea8,,0x77ac58a264e8af6a09b0ad2571a57cc71a718ea8,
